Alter,Einkommen,Preis,Geschlecht,Zeit,KundeNr,Niederlassung
70,77481.0,114318.99,1.0,60.0,K0914,Baden-Württemberg
63,69742.0,94365.56,1.0,43.0,K1050,Berlin
64,65754.0,95513.44,1.0,53.0,K0918,Hamburg
33,47124.0,79603.78,1.0,35.0,K0053,Bayern
33,37491.0,53138.58,0.0,32.0,K0130,Niedersachsen
34,27982.0,31074.53,0.0,28.0,K0638,Bayern
51,58438.0,90811.71,1.0,52.0,K0403,Baden-Württemberg
67,69567.0,128522.22,1.0,53.0,K0935,Brandenburg
34,23826.0,48808.86,0.0,34.0,K0921,Niedersachsen
45,62178.0,85463.8,1.0,46.0,K0736,Baden-Württemberg
44,68447.0,96292.93,0.0,47.0,K0855,Sachsen
53,59694.0,91743.18,1.0,40.0,K1053,Sachsen
69,74254.0,102553.46,1.0,63.0,K0220,Bayern
61,74239.0,106676.91,1.0,65.0,K0642,Thüringen
58,65271.0,106258.99,1.0,44.0,K0002,Nordrhein-Westfalen
60,73978.0,109383.25,0.0,44.0,K0899,Baden-Württemberg
59,80507.0,122494.92,1.0,52.0,K1076,Baden-Württemberg
36,27831.0,38628.85,0.0,37.0,K0081,Bayern
49,58030.0,102268.68,1.0,38.0,K0625,Nordrhein-Westfalen
67,88160.0,116308.36,0.0,67.0,K0997,Hessen
69,80988.0,130219.27,0.0,57.0,K0909,Baden-Württemberg
30,40170.0,63566.56,1.0,44.0,K0387,Hessen
59,63905.0,94428.01,1.0,38.0,K1092,Bayern
33,41016.0,61945.93,0.0,36.0,K0807,Bayern
57,57867.0,78941.48,0.0,35.0,K0510,Bayern
65,73022.0,100337.77,0.0,64.0,K0268,Niedersachsen
67,78366.0,109630.95,1.0,55.0,K0973,Nordrhein-Westfalen
64,67455.0,116446.72,1.0,38.0,K0442,Nordrhein-Westfalen
46,46352.0,76759.63,1.0,22.0,K0497,Bayern
33,34894.0,60765.14,1.0,29.0,K0830,Baden-Württemberg
66,70138.0,102407.29,1.0,59.0,K0113,Berlin
59,61988.0,83817.23,0.0,34.0,K0692,Baden-Württemberg
45,62886.0,91266.15,1.0,50.0,K0233,Nordrhein-Westfalen
65,82579.0,119442.59,0.0,52.0,K0472,Nordrhein-Westfalen
41,38158.0,49170.73,0.0,37.0,K0608,Nordrhein-Westfalen
43,41643.0,68969.85,0.0,25.0,K0672,Berlin
42,63339.0,90132.53,1.0,54.0,K0374,Nordrhein-Westfalen
50,45848.0,48780.22,1.0,47.0,K0827,Hessen
52,58625.0,113237.35,1.0,46.0,K0664,Sachsen
42,41463.0,74976.67,1.0,43.0,K1004,Baden-Württemberg
55,66624.0,94540.15,1.0,36.0,K0234,Hessen
66,95730.0,138765.11,1.0,63.0,K0819,Nordrhein-Westfalen
62,66385.0,110890.06,1.0,45.0,K0936,Hessen
30,28784.0,42416.07,1.0,34.0,K0677,Berlin
54,72215.0,117790.98,1.0,42.0,K0318,Sachsen
42,55975.0,80767.86,0.0,38.0,K0649,Nordrhein-Westfalen
45,60218.0,102902.04,1.0,41.0,K0411,Hamburg
40,40385.0,60570.44,0.0,38.0,K1044,Baden-Württemberg
63,58435.0,87561.26,1.0,47.0,K0710,Thüringen
51,40228.0,64816.33,1.0,31.0,K0359,Hessen
64,64196.0,107141.39,1.0,48.0,K0259,Bayern
56,81045.0,125101.5,0.0,58.0,K0745,Berlin
58,49747.0,77878.69,1.0,48.0,K0628,Hamburg
34,65070.0,98105.63,1.0,57.0,K0633,Hamburg
59,76842.0,94309.74,0.0,47.0,K0283,Baden-Württemberg
46,40684.0,66968.71,1.0,36.0,K0377,Niedersachsen
41,46713.0,49617.32,1.0,40.0,K0385,Bayern
40,50730.0,69432.02,1.0,30.0,K0225,Baden-Württemberg
61,59927.0,100903.48,1.0,47.0,K1079,Baden-Württemberg
51,47827.0,71298.43,1.0,39.0,K0967,Thüringen
54,60025.0,74740.62,1.0,42.0,K0473,Berlin
41,62740.0,91641.0,0.0,52.0,K0348,Niedersachsen
48,45333.0,65343.65,1.0,40.0,K0506,Hessen
30,41029.0,70761.65,0.0,32.0,K0640,Hessen
32,23753.0,40179.55,0.0,22.0,K1099,Bayern
46,51329.0,77922.3,1.0,32.0,K0798,Thüringen
42,48275.0,70990.88,1.0,42.0,K0340,Thüringen
65,60136.0,116989.74,1.0,44.0,K0556,Hessen
65,55071.0,90033.88,1.0,41.0,K0620,Niedersachsen
43,52541.0,79916.64,0.0,36.0,K1020,Hessen
62,79399.0,125617.3,0.0,56.0,K0955,Baden-Württemberg
54,64748.0,104496.28,1.0,47.0,K0646,Bayern
62,57795.0,85730.62,0.0,38.0,K1008,Niedersachsen
35,59218.0,89824.77,0.0,33.0,K0557,Berlin
60,71186.0,115349.19,1.0,53.0,K0682,Hessen
54,55199.0,64942.31,1.0,59.0,K0578,Baden-Württemberg
39,61809.0,80843.31,1.0,44.0,K0796,Nordrhein-Westfalen
53,61613.0,99068.03,1.0,50.0,K0086,Brandenburg
64,71112.0,121577.09,1.0,55.0,K0243,Hamburg
31,44046.0,51186.35,1.0,31.0,K0699,Thüringen
69,72349.0,103823.85,1.0,61.0,K0839,Baden-Württemberg
35,55716.0,63069.62,1.0,25.0,K0160,Sachsen
43,53186.0,93969.09,1.0,43.0,K0525,Hamburg
68,79182.0,125939.52,1.0,48.0,K0036,Baden-Württemberg
38,59079.0,92587.82,1.0,56.0,K0541,Berlin
70,95326.0,133593.66,1.0,66.0,K0171,Baden-Württemberg
50,48277.0,88936.09,1.0,47.0,K0655,Nordrhein-Westfalen
50,78249.0,114846.09,1.0,55.0,K0749,Nordrhein-Westfalen
69,59046.5,125140.05,1.0,65.0,K1021,Bayern
69,77887.0,126098.91,0.0,51.0,K1009,Hessen
61,94363.0,137974.71,1.0,50.0,K0485,Bayern
60,61431.0,105250.41,1.0,33.0,K0734,Bayern
34,46252.0,62891.18,0.0,39.0,K0900,Berlin
57,60138.0,102300.93,1.0,35.0,K0096,Baden-Württemberg
48,57825.0,94299.04,1.0,31.0,K0564,Thüringen
38,35214.0,50205.8,1.0,32.0,K0241,Bayern
61,65648.0,100202.5,0.0,51.0,K0743,Berlin
49,60621.0,81988.0,1.0,41.0,K0864,Hessen
32,61059.0,81549.78,0.0,47.0,K0575,Nordrhein-Westfalen
59,60769.0,72785.83,1.0,53.0,K0691,Baden-Württemberg
37,60379.0,83542.5,0.0,59.0,K0461,Thüringen
38,51844.0,60596.45,1.0,31.0,K0892,Sachsen
54,71830.0,113981.18,1.0,44.0,K0554,Bayern
55,75123.0,97596.04,1.0,55.0,K0858,Nordrhein-Westfalen
30,29432.0,61522.97,0.0,28.0,K1032,Nordrhein-Westfalen
58,46940.0,78383.96,0.0,36.0,K0207,Baden-Württemberg
45,52953.0,69536.92,1.0,36.0,K0393,Brandenburg
57,68942.0,96688.41,0.0,51.0,K0795,Nordrhein-Westfalen
67,73602.0,124908.81,1.0,56.0,K0871,Nordrhein-Westfalen
32,58361.0,71055.84,0.0,46.0,K0398,Nordrhein-Westfalen
51,71583.0,99159.39,0.0,59.0,K0767,Baden-Württemberg
41,50856.0,87967.12,1.0,42.0,K1010,Nordrhein-Westfalen
70,73363.0,111223.31,0.0,54.0,K0218,Hamburg
50,56621.0,92898.67,0.0,40.0,K0005,Bayern
46,49781.0,73484.48,0.0,48.0,K0769,Hessen
40,43259.0,58493.0,1.0,36.0,K0643,Niedersachsen
58,67418.0,95613.26,0.0,65.0,K0462,Bayern
31,27160.0,40495.11,0.0,26.0,K0943,Bayern
65,60902.0,114790.5,1.0,52.0,K0613,Niedersachsen
69,67799.0,99345.38,0.0,55.0,K0739,Bayern
67,81679.0,124223.23,0.0,57.0,K0961,Bayern
67,74189.0,118596.14,0.0,44.0,K0547,Baden-Württemberg
60,70775.0,101574.15,0.0,64.0,K0987,Baden-Württemberg
34,52759.0,77110.67,1.0,53.0,K0726,Niedersachsen
58,68451.0,114851.71,1.0,45.0,K1097,Nordrhein-Westfalen
68,84609.0,123507.33,1.0,54.0,K0684,Baden-Württemberg
37,48532.0,68786.85,0.0,32.0,K0099,Hessen
49,69675.0,92342.53,1.0,51.0,K0805,Baden-Württemberg
35,24355.0,55167.61,1.0,32.0,K0728,Hessen
30,36552.0,51200.08,0.0,21.0,K0574,Baden-Württemberg
34,44113.0,69211.99,1.0,34.0,K0407,Sachsen
65,68189.0,97143.57,0.0,36.0,K0503,Nordrhein-Westfalen
64,77668.0,116246.65,0.0,63.0,K0048,Baden-Württemberg
36,24397.0,32833.88,0.0,38.0,K0033,Baden-Württemberg
37,44420.0,51519.02,1.0,26.0,K0930,Bayern
52,60063.0,109287.55,1.0,31.0,K0780,Niedersachsen
66,94518.0,119618.58,0.0,62.0,K0840,Thüringen
40,55005.0,76273.78,1.0,47.0,K0201,Berlin
44,43460.0,71339.81,0.0,45.0,K0135,Hessen
57,83306.0,112854.14,1.0,53.0,K0028,Sachsen
38,55278.0,95883.59,1.0,46.0,K0041,Baden-Württemberg
38,54775.0,75261.51,1.0,40.0,K1018,Hamburg
64,89881.0,120551.98,0.0,55.0,K0231,Hessen
41,57422.0,75053.42,1.0,47.0,K0490,Nordrhein-Westfalen
37,30511.0,63585.76,0.0,29.0,K0773,Niedersachsen
57,66962.0,103890.1,1.0,47.0,K0379,Sachsen
63,65128.0,111253.56,1.0,42.0,K0289,Berlin
66,80562.0,121433.27,1.0,48.0,K0419,Bayern
30,23168.0,38984.74,1.0,23.0,K0392,Thüringen
70,76112.0,107199.46,1.0,60.0,K0593,Sachsen
56,65663.0,107678.5,1.0,55.0,K0648,Hessen
52,77888.0,105968.69,1.0,59.0,K0521,Bayern
44,47332.0,84281.71,0.0,36.0,K0065,Baden-Württemberg
32,43022.0,50811.55,1.0,36.0,K0015,Sachsen
54,65610.0,78467.12,1.0,59.0,K0493,Berlin
55,69487.0,93455.52,1.0,50.0,K0380,Thüringen
55,76066.0,112809.53,0.0,52.0,K0188,Hamburg
56,76011.0,125585.18,1.0,63.0,K0764,Nordrhein-Westfalen
36,51478.0,90484.89,1.0,32.0,K0217,Bayern
44,52628.0,80768.14,0.0,47.0,K0792,Bayern
39,50202.0,86793.36,1.0,30.0,K0879,Bayern
54,58380.0,89265.3,1.0,45.0,K0338,Hessen
39,57156.0,77986.08,1.0,39.0,K0720,Baden-Württemberg
48,51210.0,64363.81,1.0,29.0,K0296,Bayern
60,57664.0,95386.14,0.0,51.0,K1017,Hessen
31,36628.0,58605.27,0.0,33.0,K0456,Berlin
69,77676.0,126864.71,1.0,62.0,K0816,Nordrhein-Westfalen
33,38152.0,68310.6,0.0,26.0,K0270,Baden-Württemberg
69,65252.0,105771.99,1.0,42.0,K0996,Berlin
45,49088.0,80749.79,0.0,39.0,K0202,Niedersachsen
56,66685.0,110938.59,1.0,55.0,K0162,Hessen
42,22279.0,61502.53,1.0,20.0,K0730,Sachsen
66,85534.0,122017.62,1.0,59.0,K0402,Sachsen
63,81261.0,109555.23,1.0,48.0,K0703,Bayern
32,26878.0,50126.6,1.0,36.0,K0566,Bayern
70,84074.0,144045.32,1.0,57.0,K1022,Baden-Württemberg
30,52514.0,76020.69,1.0,27.0,K1026,Niedersachsen
45,54276.0,88859.4,1.0,43.0,K0206,Baden-Württemberg
38,48364.0,85707.42,1.0,35.0,K0035,Bayern
51,69957.0,102053.63,0.0,51.0,K0776,Bayern
36,40554.0,68345.72,1.0,24.0,K0509,Baden-Württemberg
57,78835.0,112307.45,1.0,55.0,K1091,Baden-Württemberg
62,71666.0,107104.52,1.0,59.0,K0092,Thüringen
59,79283.0,105625.52,1.0,59.0,K0898,Berlin
68,61693.0,111218.49,0.0,52.0,K0565,Nordrhein-Westfalen
43,57981.0,96036.67,0.0,55.0,K0777,Niedersachsen
70,80732.0,116569.27,1.0,52.0,K0242,Baden-Württemberg
53,70398.0,102062.3,0.0,48.0,K0014,Sachsen
32,53135.0,81152.36,1.0,53.0,K0316,Baden-Württemberg
40,53679.0,77410.61,1.0,41.0,K0601,Berlin
63,82564.0,124742.75,1.0,59.0,K0388,Bayern
44,47834.0,69642.73,1.0,44.0,K0167,Berlin
65,62961.0,106364.96,1.0,56.0,K0841,Baden-Württemberg
31,27501.0,39695.86,1.0,22.0,K0021,Hessen
51,61555.0,101804.21,0.0,36.0,K0647,Hamburg
40,42128.0,78281.31,1.0,40.0,K0832,Niedersachsen
55,45218.0,69467.58,1.0,34.0,K0563,Berlin
48,43335.0,67948.2,1.0,27.0,K1078,Nordrhein-Westfalen
32,43583.0,75274.62,0.0,37.0,K0687,Baden-Württemberg
56,42003.0,84471.99,0.0,43.0,K0958,Hessen
35,41741.0,52271.78,0.0,38.0,K0190,Hamburg
65,79589.0,117896.45,0.0,57.0,K0976,Hessen
40,76423.0,101008.49,0.0,51.0,K0700,Bayern
43,59012.0,91000.76,1.0,44.0,K0511,Baden-Württemberg
59,62840.374523,92837.59,0.0,46.0,K1083,Baden-Württemberg
65,58270.0,85983.74,1.0,38.0,K0475,Berlin
37,57504.0,78406.83,1.0,40.0,K0857,Berlin
48,59014.0,97451.48,1.0,48.0,K0748,Bayern
65,70212.0,102160.74,1.0,45.0,K0253,Hessen
50,49026.0,79076.93,0.0,36.0,K0022,Berlin
55,61750.0,93666.44,1.0,52.0,K0460,Nordrhein-Westfalen
32,34846.0,48990.25,0.0,25.0,K0277,Baden-Württemberg
59,68568.0,95476.41,0.0,41.0,K0956,Baden-Württemberg
30,62318.0,93943.58,1.0,50.0,K0386,Hessen
54,84027.0,117270.4,1.0,58.0,K0806,Niedersachsen
30,29264.0,54886.03,1.0,21.0,K0344,Berlin
55,71467.0,89954.18,1.0,59.0,K0770,Hessen
59,68825.0,83303.72,0.0,60.0,K0131,Brandenburg
66,58457.0,79415.76,1.0,35.0,K0872,Bayern
46,46384.0,82034.0,1.0,37.0,K0088,Sachsen
69,96516.0,142208.17,1.0,64.0,K0331,Baden-Württemberg
70,69581.0,103751.58,1.0,51.0,K0467,Thüringen
38,48301.0,64230.98,1.0,33.0,K0122,Niedersachsen
67,63547.0,103123.57,1.0,41.0,K1045,Berlin
37,32686.0,49215.87,1.0,36.0,K1096,Baden-Württemberg
55,71240.0,106132.59,1.0,49.0,K0861,Bayern
30,39919.0953348874,0.0,0.0,29.0,K1814,Bayern
41,53430.67308587748,0.0,0.0,27.0,K1544,Baden-Württemberg
64,73163.2169267002,0.0,0.0,32.0,K1945,Baden-Württemberg
41,36761.482581315344,0.0,0.0,44.0,K1825,Baden-Württemberg
35,42684.33163178136,0.0,1.0,33.0,K1144,Nordrhein-Westfalen
67,63881.03417512037,0.0,1.0,27.0,K1395,Berlin
46,68885.01956818235,0.0,0.0,59.0,K1405,Nordrhein-Westfalen
63,63083.28870522346,0.0,0.0,40.0,K1438,Niedersachsen
30,55256.4530467888,0.0,1.0,31.0,K1313,Baden-Württemberg
32,44873.24457091626,0.0,0.0,44.0,K1241,Sachsen
66,75200.53464199259,0.0,0.0,35.0,K1242,Berlin
61,59560.06177988721,0.0,0.0,37.0,K1801,Nordrhein-Westfalen
66,90643.13302647206,0.0,1.0,25.0,K1590,Baden-Württemberg
68,80553.39340496145,0.0,0.0,56.0,K1349,Baden-Württemberg
39,42543.25204627491,0.0,1.0,30.0,K1449,Hessen
40,33126.11045648739,0.0,0.0,34.0,K1958,Baden-Württemberg
44,62175.95917026976,0.0,1.0,33.0,K1726,Berlin
49,51900.08248154316,0.0,0.0,40.0,K1758,Bayern
48,59967.31328247114,0.0,1.0,21.0,K1991,Hessen
36,33884.96632098324,0.0,0.0,49.0,K1215,Bayern
66,67587.20954156849,0.0,1.0,37.0,K1399,Nordrhein-Westfalen
31,38844.33511086199,0.0,1.0,21.0,K1552,Berlin
61,66782.63479749944,0.0,0.0,25.0,K1297,Nordrhein-Westfalen
40,54891.4467910973,0.0,0.0,46.0,K1787,Baden-Württemberg
49,59388.51974583303,0.0,0.0,21.0,K1643,Baden-Württemberg
62,92892.64417436426,0.0,0.0,14.0,K1924,Nordrhein-Westfalen
36,36252.28123171101,0.0,1.0,46.0,K1135,Hamburg
45,54233.58902280894,0.0,1.0,37.0,K1778,Niedersachsen
64,84876.30328321343,0.0,0.0,34.0,K1168,Baden-Württemberg
50,60708.22607800983,0.0,0.0,44.0,K1501,Hessen
45,54500.5391380709,0.0,0.0,30.0,K1982,Hamburg
31,34101.76397312862,0.0,1.0,46.0,K1246,Bayern
50,55260.84751553851,0.0,0.0,46.0,K1898,Brandenburg
52,71014.31038644777,0.0,1.0,21.0,K1340,Bayern
34,53036.01128400799,0.0,0.0,46.0,K1309,Bayern
67,79728.1351072828,0.0,1.0,22.0,K1725,Thüringen
31,26637.981443696044,0.0,1.0,30.0,K1128,Niedersachsen
38,48808.07114016616,0.0,1.0,54.0,K1303,Baden-Württemberg
46,61964.35164914425,0.0,0.0,57.0,K1947,Bayern
31,27594.39325353453,0.0,0.0,49.0,K1844,Bayern
68,83333.56782765305,0.0,1.0,33.0,K1225,Bayern
48,54207.38981037917,0.0,0.0,45.0,K1582,Nordrhein-Westfalen
40,65585.39007498826,0.0,0.0,43.0,K1942,Bayern
37,39421.70983093856,0.0,1.0,38.0,K1895,Berlin
69,108569.08702065004,0.0,1.0,47.0,K1467,Nordrhein-Westfalen
69,91624.99730636716,0.0,1.0,21.0,K1191,Niedersachsen
43,67392.46312717693,0.0,0.0,45.0,K1172,Nordrhein-Westfalen
52,68557.64272708262,0.0,0.0,27.0,K1455,Sachsen
37,51083.82595578743,0.0,0.0,41.0,K1315,Baden-Württemberg
51,52205.09243795647,0.0,0.0,42.0,K1764,Baden-Württemberg
68,96580.0635011618,0.0,0.0,30.0,K1553,Nordrhein-Westfalen
63,80825.88321852202,0.0,1.0,50.0,K1925,Berlin
63,56999.12653841968,0.0,1.0,50.0,K1465,Berlin
66,64794.72727631589,0.0,1.0,35.0,K1907,Berlin
50,75601.52855545645,0.0,0.0,31.0,K1385,Thüringen
35,32469.35249836007,0.0,1.0,24.0,K1690,Bayern
53,51711.710837452105,0.0,1.0,37.0,K1175,Baden-Württemberg
62,75231.17792161655,0.0,1.0,44.0,K1404,Baden-Württemberg
39,37428.11758655559,0.0,1.0,37.0,K1316,Niedersachsen
53,75785.76768077022,0.0,0.0,49.0,K1149,Bayern
39,30485.188253072083,0.0,1.0,44.0,K1513,Hamburg
60,70853.5645440371,0.0,1.0,30.0,K1551,Baden-Württemberg
41,57516.90250700793,0.0,1.0,39.0,K1531,Berlin
37,66419.24826812533,0.0,1.0,28.0,K1273,Thüringen
45,62279.13133366568,0.0,1.0,27.0,K1301,Baden-Württemberg
52,70297.21359638925,0.0,0.0,51.0,K1877,Nordrhein-Westfalen
37,65034.99740020256,0.0,1.0,44.0,K1177,Niedersachsen
36,41668.05410643508,0.0,0.0,40.0,K1527,Bayern
43,49480.57828968764,0.0,1.0,23.0,K1637,Baden-Württemberg
54,56292.71084855829,0.0,1.0,36.0,K1696,Hamburg
67,78307.64635377112,0.0,0.0,35.0,K1417,Hamburg
37,43614.88262792917,0.0,1.0,34.0,K1416,Bayern
49,76602.7888395788,0.0,1.0,19.0,K1994,Berlin
42,58051.95657742942,0.0,0.0,25.0,K1940,Baden-Württemberg
46,51857.86016658747,0.0,1.0,44.0,K1938,Nordrhein-Westfalen
68,79291.161811527,0.0,0.0,36.0,K1710,Nordrhein-Westfalen
70,76105.63448490306,0.0,0.0,25.0,K1872,Hessen
58,68691.18132399686,0.0,1.0,37.0,K1644,Nordrhein-Westfalen
43,48849.87079024495,0.0,0.0,36.0,K1462,Brandenburg
65,92223.18914804253,0.0,1.0,41.0,K1359,Baden-Württemberg
69,85613.26171212798,0.0,1.0,28.0,K1371,Hessen
47,53430.97175074282,0.0,1.0,30.0,K1171,Berlin
41,34560.061178587945,0.0,0.0,34.0,K1424,Baden-Württemberg
38,46846.64631106874,0.0,0.0,46.0,K1883,Baden-Württemberg
44,53482.31220036104,0.0,1.0,33.0,K1279,Bayern
35,29395.6414486515,0.0,1.0,28.0,K1598,Baden-Württemberg
40,68282.04611732642,0.0,1.0,15.0,K1320,Hamburg
45,66573.48650260495,0.0,0.0,52.0,K1414,Nordrhein-Westfalen
39,44825.252298298255,0.0,0.0,45.0,K1927,Baden-Württemberg
38,40638.12381960798,0.0,1.0,46.0,K1355,Baden-Württemberg
61,75680.8569455791,0.0,1.0,42.0,K1270,Sachsen
37,39528.49075947741,0.0,1.0,19.0,K1646,Bayern
32,44270.051947941305,0.0,1.0,45.0,K1730,Niedersachsen
70,74005.80908584956,0.0,0.0,42.0,K1493,Baden-Württemberg
34,43060.345548235055,0.0,1.0,32.0,K1181,Nordrhein-Westfalen
60,71786.3601761889,0.0,1.0,36.0,K1386,Bayern
48,60260.01950308245,0.0,0.0,30.0,K1817,Berlin
37,45165.04142331776,0.0,1.0,36.0,K1443,Bayern
68,98083.36958703487,0.0,1.0,22.0,K1432,Berlin
44,43990.60139928602,0.0,1.0,35.0,K1426,Brandenburg
48,54965.091031366464,0.0,1.0,30.0,K1650,Niedersachsen
53,53797.07241160214,0.0,1.0,24.0,K1695,Hessen
61,75646.61434612492,0.0,1.0,45.0,K1396,Bayern
67,85750.07554566991,0.0,0.0,41.0,K1570,Nordrhein-Westfalen
49,49362.35856757959,0.0,0.0,36.0,K1919,Thüringen
40,39581.24530431099,0.0,1.0,5.0,K1547,Niedersachsen
53,72005.35624913589,0.0,0.0,27.0,K1775,Nordrhein-Westfalen
50,64799.99968190091,0.0,1.0,35.0,K1567,Thüringen
54,73773.47238829928,0.0,1.0,23.0,K1391,Berlin
49,51990.8572650111,0.0,1.0,29.0,K1314,Berlin
40,62840.37452322088,0.0,0.0,35.0,K1774,Nordrhein-Westfalen
30,46686.48822885003,0.0,1.0,36.0,K1332,Sachsen
35,42664.92693348081,0.0,0.0,34.0,K1954,Nordrhein-Westfalen
65,78027.33356866369,0.0,1.0,12.0,K1617,Niedersachsen
54,54771.81984576158,0.0,0.0,26.0,K1632,Baden-Württemberg
61,79526.72258325989,0.0,1.0,62.0,K1981,Baden-Württemberg
36,32281.857537934036,0.0,1.0,52.0,K1201,Hessen
32,31010.60371272385,0.0,0.0,42.0,K1397,Baden-Württemberg
68,78362.67406137298,0.0,0.0,21.0,K1428,Baden-Württemberg
51,56457.4891364143,0.0,0.0,28.0,K1841,Nordrhein-Westfalen
68,74860.98577194301,0.0,0.0,20.0,K1634,Bayern
54,68635.79438556149,0.0,0.0,29.0,K1323,Baden-Württemberg
61,61246.32697749902,0.0,0.0,45.0,K1380,Nordrhein-Westfalen
63,69114.66674485385,0.0,0.0,39.0,K1183,Hamburg
58,76153.05437383783,0.0,0.0,25.0,K1890,Bayern
41,39145.70180758025,0.0,1.0,40.0,K1709,Hessen
45,34526.57020159587,0.0,1.0,17.0,K1901,Baden-Württemberg
47,61173.93565537098,0.0,1.0,37.0,K1244,Niedersachsen
35,40070.02223199869,0.0,1.0,47.0,K1683,Bayern
47,61411.10701386299,0.0,1.0,21.0,K1599,Bayern
66,76131.40623392163,0.0,0.0,42.0,K1464,Sachsen
57,52580.65881183184,0.0,1.0,29.0,K1170,Bayern
31,12031.989258552723,0.0,1.0,32.0,K1586,Baden-Württemberg
63,74054.70619267496,0.0,0.0,43.0,K1882,Nordrhein-Westfalen
30,47051.43409867171,0.0,1.0,23.0,K1704,Baden-Württemberg
57,75169.08296945898,0.0,0.0,44.0,K1935,Thüringen
49,53203.21029404359,0.0,0.0,44.0,K1411,Hessen
64,74726.84924898707,0.0,1.0,55.0,K1336,Bayern
37,60309.95951774383,0.0,0.0,38.0,K1950,Baden-Württemberg
40,56212.03314278404,0.0,1.0,39.0,K1154,Bayern
50,46631.75790296047,0.0,1.0,36.0,K1757,Bayern
49,56491.65443727993,0.0,0.0,25.0,K1959,Baden-Württemberg
51,46713.49462194787,0.0,0.0,34.0,K1447,Berlin
37,37001.8597858101,0.0,1.0,29.0,K1699,Bayern
34,46611.89681382488,0.0,1.0,34.0,K1990,Berlin
36,39625.21727597255,0.0,1.0,55.0,K1521,Bayern
70,97897.0505433718,0.0,1.0,60.0,K1318,Berlin
43,68343.42995828904,0.0,1.0,32.0,K1138,Nordrhein-Westfalen
59,68648.91021070804,0.0,1.0,32.0,K1136,Nordrhein-Westfalen
34,42021.351206703584,0.0,0.0,36.0,K1773,Brandenburg
66,78363.1815844051,0.0,1.0,26.0,K1689,Baden-Württemberg
55,67416.14051817694,0.0,1.0,31.0,K1619,Nordrhein-Westfalen
57,75132.69871427603,0.0,0.0,41.0,K1793,Bayern
52,54277.20247138504,0.0,1.0,48.0,K1214,Nordrhein-Westfalen
62,83975.47424607084,0.0,0.0,33.0,K1182,Bayern
42,60427.7317067945,0.0,1.0,44.0,K1716,Sachsen
67,87075.0424976642,0.0,1.0,59.0,K1748,Niedersachsen
55,76311.86352250354,0.0,1.0,41.0,K1187,Baden-Württemberg
31,38298.53365217667,0.0,1.0,3.0,K1623,Nordrhein-Westfalen
33,35653.84321707804,0.0,0.0,26.0,K1762,Nordrhein-Westfalen
37,51507.44213419635,0.0,0.0,34.0,K1401,Niedersachsen
43,58161.76456569998,0.0,1.0,31.0,K1612,Nordrhein-Westfalen
30,38642.9176274666,0.0,1.0,35.0,K1913,Bayern
46,56617.21612666908,0.0,0.0,31.0,K1480,Hessen
37,38266.32199296525,0.0,1.0,36.0,K1110,Baden-Württemberg
41,52447.560235608296,0.0,1.0,48.0,K1159,Sachsen
48,63015.20260611034,0.0,0.0,50.0,K1503,Berlin
45,44514.71192462543,0.0,1.0,37.0,K1562,Berlin
33,20924.68796076063,0.0,1.0,36.0,K1626,Baden-Württemberg
62,77172.3477368733,0.0,1.0,36.0,K1468,Baden-Württemberg
67,68054.56279480796,0.0,0.0,40.0,K1202,Niedersachsen
46,57346.43603357197,0.0,1.0,32.0,K1522,Hamburg
52,74487.88940711174,0.0,1.0,41.0,K1677,Bayern
46,54308.48613322938,0.0,1.0,32.0,K1957,Brandenburg
48,68669.40274374136,0.0,1.0,41.0,K1538,Niedersachsen
54,70603.6396479521,0.0,1.0,13.0,K1878,Sachsen
44,46191.87896569637,0.0,1.0,45.0,K1130,Baden-Württemberg
63,66297.52548713186,0.0,0.0,43.0,K1189,Niedersachsen
47,46132.94535081172,0.0,1.0,38.0,K1115,Nordrhein-Westfalen
35,55240.05100480306,0.0,0.0,24.0,K1436,Nordrhein-Westfalen
66,78220.57773084576,0.0,0.0,41.0,K1838,Sachsen
52,67495.80152171961,0.0,1.0,25.0,K1487,Nordrhein-Westfalen
36,48519.26595769286,0.0,1.0,30.0,K1809,Baden-Württemberg
33,44999.01911189909,0.0,0.0,18.0,K1918,Baden-Württemberg
54,49679.673812958754,0.0,0.0,24.0,K1223,Sachsen
45,51504.42714273189,0.0,1.0,50.0,K1641,Baden-Württemberg
40,57367.42919749243,0.0,1.0,31.0,K1466,Baden-Württemberg
61,80750.62261107466,0.0,0.0,24.0,K1134,Sachsen
57,63456.62655121073,0.0,0.0,45.0,K1160,Bayern
52,45802.02820555963,0.0,1.0,25.0,K1970,Baden-Württemberg
53,58520.52013258997,0.0,0.0,20.0,K1700,Brandenburg
51,56254.19697173916,0.0,0.0,17.0,K1344,Berlin
68,77479.77370987926,0.0,0.0,45.0,K1826,Baden-Württemberg
68,80288.19633710348,0.0,1.0,19.0,K1186,Brandenburg
42,37936.97963079064,0.0,0.0,30.0,K1364,Sachsen
57,50221.96278036853,0.0,1.0,47.0,K1591,Bayern
38,48379.32276693023,0.0,1.0,43.0,K1821,Thüringen
69,98029.0012254466,0.0,1.0,37.0,K1905,Bayern
66,82388.15906332547,0.0,0.0,34.0,K1886,Hessen
53,69200.65406495638,0.0,0.0,25.0,K1647,Berlin
54,59334.765842262015,0.0,0.0,34.0,K1431,Baden-Württemberg
